Date,oil Price,Usd,Kospi,gold,open,high,low,close,volume,value
2018-07-18,69.98,1127,2313.78,1227,8080000,8450000,8071000,8302000,9226.4496955,76253964448
2018-07-19,70.91,1131.32,2298.91,1227.3,8292000,8512000,8157000,8443000,6091.9299451,50624771672
2018-07-20,71.57,1135.39,2281.36,1222.9,8443000,8671000,8300000,8351000,7480.6899516,63135854964
2018-07-21,,,,,8351000,8387000,8185000,8367000,3409.0211157,28298722220
2018-07-22,,,,,8367000,8530000,8270000,8349000,3853.4599719,32451010552
2018-07-23,71.85,1128.12,2289.61,1231.7,8347000,8844000,8275000,8752000,9851.8295157,85355562871
2018-07-24,72.01,1134.09,2273.15,1224.4,8752000,9525000,8701000,9452000,16483.799959,1.50E+11
2018-07-25,72.87,1127.55,2284.38,1224.2,9458000,9578000,9054000,9158000,11238.217284,1.05E+11
2018-07-26,73.62,1117.65,2284.51,1231.7,9158000,9299000,8815000,8950000,7716.0562582,70520276839
2018-07-27,73.69,1124.62,2292.33,1231.4,8950000,9259000,8780000,9122000,10051.363434,90182962072
2018-07-28,,,,,9138000,9229000,9064000,9225000,3917.2811502,35925663625
2018-07-29,,,,,9229000,9310000,9153000,9238000,4119.531452,38024462761
2018-07-30,73.53,1114.97,2290.18,1231.1,9238000,9280000,8955000,9270000,5498.9160005,50449604576
2018-07-31,73.62,1118.73,2292.23,1230.5,9270000,9278000,8690000,8800000,8921.9864609,80229043589
2018-08-01,72,1113.25,2301.17,1232.7,8807000,8844000,8548000,8726000,6033.2607174,52212740816
2018-08-02,71.52,1119.49,2304.14,1224.7,8725000,8940000,8626000,8731000,6310.2273502,55220834823
2018-08-03,71.98,1128.21,2278.33,1216,8730000,8730000,8372000,8508000,6142.542855,52194607453
2018-08-04,,,,,8508000,8610000,8000000,8074000,5211.4619861,43253413180
2018-08-05,,,,,8074000,8181000,7915000,8077000,3578.837364,28833153216
2018-08-06,72.18,1123.2,2288.51,1222,8075000,8200000,7900000,7982000,3802.4900714,30597433154
2018-08-07,72.49,1126.7,2290.85,1215.8,7973000,8190000,7750000,7760000,5910.2081511,47355068349
2018-08-08,72.1,1117.12,2305.73,1218.7,7760000,7766000,7217000,7308000,7975.3373222,59847789628
2018-08-09,72.03,1118.17,2303.04,1222,7310000,7644000,7203000,7543000,6342.0580959,47072146232
2018-08-10,70.6,1123.4,2295.21,1220,7546000,7608000,7100000,7230000,5780.775775,42724349302
2018-08-11,,,,,7227000,7590000,7127000,7325000,5066.8521657,36885101191
2018-08-12,,,,,7325000,7540000,7279000,7395000,2682.3914537,19827538898
2018-08-13,70.97,1130,2266.43,1218.4,7396000,7637000,7288000,7387000,5711.0739252,42619588027
2018-08-14,71.33,1137,2249.86,1201.1,7386000,7386000,6960000,7233000,8027.8392352,57122910971
2018-08-15,69.77,1128.21,,1201.5,7233000,7600000,7206000,7332000,7158.7926917,52927582230
2018-08-16,69.47,1133.97,2233.05,1183,7332000,7487000,7260000,7337000,5318.9347014,39186068019
2018-08-17,70.27,1127.35,2244.61,1180.7,7338000,7526000,7306000,7496000,6653.0014377,49515097451
2018-08-18,,,,,7500000,7579000,7288000,7391000,4615.7044277,34269405733
2018-08-19,,,,,7393000,7498000,7310000,7431000,2928.9626212,21644401605
2018-08-20,70.64,1119.4,2257.35,1190.4,7432000,7469000,7244000,7255000,4187.2179145,30970843740
2018-08-21,71.01,1117.35,2248.04,1197.3,7255000,7430000,7240000,7375000,3037.609618,22288720074
2018-08-22,71.75,1117.28,2273.68,1203,7375000,7751000,7187000,7289000,7591.8134609,57175275724
2018-08-23,73.01,1117.76,2282.57,1202.8,7286000,7500000,7285000,7439000,3662.1835859,26955047058
2018-08-24,74.02,1123.8,2276.16,1191.6,7440000,7593000,7368000,7561000,3754.3817957,27968267658
2018-08-25,,,,,7564000,7683000,7521000,7604000,3491.7033731,26486222594
2018-08-26,,,,,7604000,7637000,7450000,7547000,2824.3842193,21280969843
2018-08-27,74.09,1114.75,2297.32,1214.5,7547000,7725000,7490000,7688000,4134.9819171,31245125578
2018-08-28,74.75,1108.8,2312.14,1217.7,7688000,7886000,7654000,7839000,4988.8198928,38693273429
2018-08-29,74.48,1108.3,2304.66,1206.6,7838000,7938000,7723000,7825000,4912.1416996,38559027708
2018-08-30,75.72,1111.18,2313.11,1212.6,7825000,7910000,7672000,7856000,4799.9547809,37319319426
2018-08-31,75.74,1113.96,2298.13,1206.3,7844000,7915000,7749000,7865000,4687.3010579,36718712181
2018-09-01,,,,,7865000,8009000,7844000,8001000,4338.0120748,34375386341
2018-09-02,,,,,8000000,8169000,7932000,8113000,4460.5271009,35986068849
2018-09-03,75.77,1115.65,2317.93,1207,8114000,8160000,8043000,8125000,3198.8515508,25904388275
2018-09-04,76.32,1112.1,2308.96,1201.8,8116000,8279000,8111000,8271000,3811.8578826,31253351748
2018-09-05,75.18,1118.36,2310.9,1197.2,8271000,8333000,7687000,7699000,7761.441331,62459759558
2018-09-06,74.51,1119.02,2288.8,1202.5,7698000,7718000,7264000,7523000,7776.4249865,57708418700
2018-09-07,74.17,1122.75,2278.08,1205.6,7522000,7543000,7292000,7382000,4198.8008613,31207926938
2018-09-08,,,,,7391000,7439000,7110000,7206000,2881.5263958,21083974350
2018-09-09,,,,,7206000,7437000,7131000,7232000,3330.2437987,24219366135
2018-09-10,75.2,1128.6,2277.35,1200.7,7232000,7348000,7198000,7274000,3089.3322345,22419048458
2018-09-11,76.02,1129.6,2286.91,1200.4,7275000,7350000,7126000,7239000,3392.1180301,24572480950
2018-09-12,77.16,1123.99,2286.28,1203.5,7242000,7289000,7155000,7234000,3994.1193168,28833461620
2018-09-13,76.46,1119.42,2285.28,1212.4,7238000,7399000,7233000,7355000,4029.7010847,29538754836
2018-09-14,76.05,1120.83,2304.7,1206.6,7355000,7504000,7261000,7359000,4397.9574919,32402972263
2018-09-15,,,,,7361000,7397000,7320000,7363000,2206.7164683,16251306528
2018-09-16,,,,,7365000,7386000,7250000,7356000,2939.0792899,21546431123
2018-09-17,76.19,1122,2314.55,1199.8,7356000,7373000,7128000,7191000,4535.6495869,32986348074
2018-09-18,76.09,1126.33,2287.73,1206.4,7192000,7283000,7134000,7234000,4053.1135492,29178284487
2018-09-19,77.06,1122.82,2319.22,1202.8,7234000,7388000,7010000,7245000,4306.6972898,31042943583
